"","1: upregulation, -1: downregulation","Symbol","Atha_Col0_Root_ZoneII-Atha_Col0_Root_ZoneI","Atha_Col0_Root_ZoneI_Rep1","Atha_Col0_Root_ZoneI_Rep2","Atha_Col0_Root_ZoneI_Rep3","Atha_Col0_Root_ZoneII_Rep1","Atha_Col0_Root_ZoneII_Rep2","Atha_Col0_Root_ZoneII_Rep3"
"4464","AT3G24460",NA,-1,7.38261604444806,6.90190818081123,6.69237084859423,3.15335274431481,3.44468937209741,3.15643267744203
"4465","AT3G24480",NA,-1,6.39187248113038,5.9028949324139,6.60839126653596,4.72939824840925,4.44044948341212,4.22871624298854
"4466","AT3G24490",NA,1,4.61360068162376,5.97206511555313,6.6649172546141,7.47054644054129,7.77808545441027,7.41081877535576
"4467","AT3G24495",NA,1,3.4365692535574,4.06471756549401,2.98163750770034,5.61630820739083,6.08664713040771,5.59233760294241
"4468","AT3G24500",NA,-1,7.00941005686254,7.13089721559874,6.78454192068327,5.29498460923676,4.37353746981567,3.44396622059791
"4469","AT3G24515",NA,1,4.141932531484,4.72952726299899,4.82617409434798,6.08031035863984,6.40411924687698,5.78473214127211
"4470","AT3G24550",NA,-1,8.04659726762939,8.86525432402739,8.98846525812663,7.62168568551759,7.68457282123601,7.50753515069369
"4471","AT3G24630",NA,-1,3.78166802130131,4.36822790069519,3.67495202601384,2.31598398885079,2.31731102952086,2.31708538173783
"4472","AT3G24670",NA,-1,9.1613746075486,9.43795916441029,9.70130589142554,7.40535971272716,7.0963804265723,7.0316438642804
"4473","AT3G24715",NA,-1,7.51158488569047,8.45030119635823,8.24892041251236,6.10104387086151,5.73338694785803,5.33557076272466
"4474","AT3G24770",NA,-1,5.69458493247408,6.21969568170291,6.26871344571981,3.30402179672477,3.79079710592449,3.98175539317281
"4475","AT3G24800",NA,-1,7.78473455301161,8.01503393058148,7.94662366133654,6.41436659190139,6.93171716003148,6.50025269170125
"4476","AT3G24810",NA,-1,7.64410192030144,7.1901604841211,7.31268489967562,4.9738117792548,5.67900581326553,5.90797078489424
"4477","AT3G24830",NA,1,11.4943646545073,11.5400786646348,11.6600509159855,13.1641856578545,13.3934396467414,13.2646422688473
"4478","AT3G24890",NA,1,3.97301666996729,4.49897533013954,4.92205739604693,6.01625971633424,5.81129825038641,6.22484309839348
"4479","AT3G25060",NA,1,2,2,2,2.79458742755624,3.79079710592449,4.06885818053435
"4480","AT3G25100",NA,1,2,3.67986327484596,3.97236786774826,5.6448299373655,5.97822865071863,6.06453051027356
"4481","AT3G25110",NA,1,5.610685835233,6.18126434087207,7.16372902371631,7.74537154290456,7.91378577741593,7.81525537743046
"4482","AT3G25150",NA,1,6.55039335915544,6.75263823520516,6.84694990198854,8.39664832186687,7.91378577741593,8.11039846342696
"4483","AT3G25190",NA,-1,9.2144473374231,8.90706726764016,7.21195070388836,2,2,2
"4484","AT3G25210",NA,1,4.82692197946333,4.97394436373171,5.01196337243604,6.12148363063534,6.73252022495853,6.4361709042571
"4485","AT3G25220",NA,1,8.52653800393711,9.10225516896536,9.33177128798749,10.1611943219717,10.034845088741,10.2680222740303
"4486","AT3G25250",NA,-1,6.56532801849504,5.83024062922117,6.70590418952832,5.39911042686389,4.30337050969142,5.4041721342729
"4487","AT3G25290",NA,-1,7.76546418844218,8.77780730282972,9.17760949794252,7.8774267008633,7.48507481022674,7.22419656216296
"4488","AT3G25410",NA,-1,6.637766717749,5.83024062922117,6.11489311636518,4.49885028493522,3.44468937209741,4.78648500556075
"4489","AT3G25440",NA,1,3.30038195637635,4.36822790069519,4.36246942694294,5.83009938885015,5.70645259658924,5.56263201192076
"4490","AT3G25480",NA,-1,6.35796557313277,6.5713380674225,5.94269334637469,5.18275487408347,5.10872288688966,4.30245893803749
"4491","AT3G25520",NA,1,11.3870780428266,11.6082045317143,11.6522080405489,13.2018652644648,13.37110288903,13.240514592639
"4492","AT3G25560",NA,-1,7.36565307679756,7.38874048030143,7.16372902371631,4.92812986954134,3.3080323328764,2.98786260079035
"4493","AT3G25570",NA,-1,5.98852396446627,6.41451138927793,5.82359898849066,2.79458742755624,2,2
"4494","AT3G25600",NA,-1,6.72014933314198,6.32920427442475,7.16372902371631,3.56505282520644,3.98260928360014,3.68360676330556
"4495","AT3G25610",NA,-1,6.03217831036339,6.14178116045708,6.21293493950058,5.10277115965402,3.98260928360014,4.93298729600396
"4496","AT3G25640",NA,-1,6.19467541030733,5.94937488751666,5.13711721670924,2,2,2
"4497","AT3G25655",NA,-1,6.19467541030733,6.31152039734332,7.37330987407708,2.57504200771636,2,2.57688225760799
"4498","AT3G25690",NA,1,2.31478174293699,3.88508554758949,2,4.83218327355233,4.44044948341212,4.83699025978834
"4499","AT3G25760",NA,-1,3.56100236211086,2.79465176711409,3.14950773014738,2,2,2
"4500","AT3G25790",NA,-1,7.71947302521516,7.80991334128744,7.77748490756405,5.97192287511992,5.56367854580594,5.53230189065983
"4501","AT3G25860",NA,1,7.25946046306365,7.72562871488053,8.09285604737339,9.29664964189108,9.51798784781282,9.36593772817106
"4502","AT3G25870",NA,-1,5.35970273130583,4.61885186422686,4.29243486601232,3.15335274431481,3.68439421711745,3.88905394125554
"4503","AT3G25890",NA,1,2,3.30411219270529,4.29243486601232,6.36379019406505,6.65010906288286,6.06453051027356
"4504","AT3G25900",NA,-1,7.96447982129337,8.5057835739288,8.91753649125866,6.55625519114705,6.6359042922471,6.71800797818537
"4505","AT3G25930",NA,-1,11.2603097068268,10.6862170500158,10.6249088203477,4.29800329942106,3.3080323328764,2.57688225760799
"4506","AT3G25940",NA,1,6.99844738645908,6.97112457270334,6.67870935373224,7.44644525803864,8.4446356671222,7.72427239325502
"4507","AT3G25970",NA,1,4.92281317311002,2.79465176711409,2.79162999550967,4.83218327355233,5.4706990854411,5.4041721342729
"4508","AT3G25980",NA,1,5.17730781752554,2.31601387266272,2,6.84143112270214,7.9771314109858,7.06380796809588
"4509","AT3G26050",NA,1,4.72420053635125,2,2,5.2585362144781,6.37019783382498,5.7323296802703
"4510","AT3G26085",NA,-1,5.610685835233,4.92826183191874,5.25227532515439,3.97758218431376,3.88988862583994,3.56875650367095
"4511","AT3G26100",NA,-1,8.68535445573105,7.79726267519628,8.01345184268012,6.2934728922244,4.68080418497178,5.75876882201543
"4512","AT3G26120",NA,1,2,2,2,3.30402179672477,3.15706315760414,3.44396622059791
"4513","AT3G26125",NA,-1,4.92281317311002,4.49897533013954,4.55422720562397,2,2,2.31708538173783
"4514","AT3G26130",NA,-1,5.84902753908441,5.29512105307016,4.36246942694294,3.44043291407737,2,3.56875650367095
"4515","AT3G26290",NA,1,2,2.31601387266272,2,5.10277115965402,4.83797356893233,4.73414734278387
"4516","AT3G26300",NA,-1,7.08390128034138,6.7786138955722,6.48822711544573,3.15335274431481,2,2
"4517","AT3G26330",NA,-1,6.32324254957979,6.85384735287067,6.97542597893079,2.57504200771636,2,2
"4518","AT3G26360",NA,1,6.83552252382208,7.62183452184929,7.65026560300193,8.29683827737032,8.63877489267795,8.65181967467195
"4519","AT3G26370",NA,1,6.19467541030733,6.55640065584297,7.21195070388836,7.8223048032536,7.91966078965068,8.02584181722082
"4520","AT3G26380",NA,1,4.363170785048,2,2.79162999550967,4.43495844000893,4.73511883312505,4.06885818053435
"4521","AT3G26410",NA,1,5.32502199908549,5.39924794844664,4.05928357681687,7.24693715757401,7.46110457183655,7.28912353348469
"4522","AT3G26440",NA,-1,9.01130912631461,8.47434109218896,8.4432379735211,5.14331723789734,4.88677571580029,4.15100021737075
"4523","AT3G26450",NA,-1,5.77387191296352,4.6752506022516,3.14950773014738,2.31598398885079,2,2
"4524","AT3G26470",NA,-1,7.47250653057325,6.01640224976616,5.25227532515439,2.57504200771636,3.56951447081235,3.68360676330556
"4525","AT3G26490",NA,-1,5.5815990351401,6.62958754775712,5.87242267289961,2,2,2
"4526","AT3G26520",NA,-1,13.4599014598481,13.0571627691494,12.816563018494,9.3774776391992,7.54711411085545,7.21467807069454
"4527","AT3G26540",NA,1,2.31478174293699,2.31601387266272,3.56042687089482,4.14667016911157,4.88677571580029,3.44396622059791
"4528","AT3G26550",NA,-1,5.5815990351401,5.33067163398497,5.55111735364424,4.88095404199321,4.15188614111938,4.62340664399498
"4529","AT3G26570",NA,-1,6.7465969570416,7.47864003274215,6.45655438770013,6.08031035863984,6.10738631106486,4.73414734278387
"4530","AT3G26610",NA,-1,8.87410586924699,8.98722432483592,8.81511143739135,5.92618015651631,4.62436442954559,5.62144386518758
"4531","AT3G26640",NA,1,5.82440813023719,5.99440399794289,5.87242267289961,6.99333075869844,7.06491705644039,6.71800797818537
"4532","AT3G26650",NA,-1,5.32502199908549,4.83231386339106,3.43602034392787,2.98509356132758,2.31731102952086,3.44396622059791
"4533","AT3G26690",NA,-1,9.29505275400634,8.77135348669829,8.78991659385688,7.19001272394315,6.89640281009634,6.8590984178984
"4534","AT3G26700",NA,-1,7.85934075449028,8.56295261491704,8.60365850128946,5.67279871377455,5.02399591438359,4.73414734278387
"4535","AT3G26710",NA,-1,5.98852396446627,5.43235124137865,6.09445910170689,5.2585362144781,4.68080418497178,4.73414734278387
"4536","AT3G26720",NA,-1,8.13934032327881,6.51063742351302,6.3910433486688,6.18112079364394,5.75982765114416,5.6779518487073
"4537","AT3G26744",NA,1,4.4938127770917,3.5651534044012,4.05928357681687,5.75359185133319,5.4706990854411,5.95446224848652
"4538","AT3G26750",NA,1,3.4365692535574,4.92826183191874,4.49309676633517,6.12148363063534,5.75982765114416,5.50132041393395
"4539","AT3G26760",NA,-1,7.02029005256821,6.29361706687807,6.77172970230751,5.18275487408347,4.50439519488716,5.10771221027807
"4540","AT3G26770",NA,1,3.4365692535574,2.79465176711409,2.31461111994093,5.33053481341312,5.06698129475387,5.50132041393395
"4541","AT3G26782",NA,1,2.79199772813262,3.4405288610411,4.05928357681687,5.39911042686389,5.90903790928135,5.43728710299925
"4542","AT3G26830",NA,-1,5.52160472722065,4.92826183191874,4.36246942694294,3.67975877150967,2.98842951276594,2.7969577013078
"4543","AT3G26890",NA,-1,7.70605883155555,7.06909484670829,6.71931175854551,6.10104387086151,6.42078547529837,5.6779518487073
"4544","AT3G26910",NA,-1,6.60922620060625,5.67293872367088,6.26871344571981,4.22432010771876,4.78746261585293,4.50345349069216
"4545","AT3G26922",NA,1,4.4938127770917,4.14678778320693,2.57274684425617,6.12148363063534,5.73338694785803,5.56263201192076
"4546","AT3G26932",NA,1,2.79199772813262,2.79465176711409,3.43602034392787,3.97758218431376,5.33660080979433,4.15100021737075
"4547","AT3G26960",NA,-1,5.84902753908441,4.14678778320693,3.29986489067706,2,2,2
"4548","AT3G27010",NA,-1,6.25118407105562,6.80413012516289,6.11489311636518,5.39911042686389,5.10872288688966,4.97869206705159
"4549","AT3G27060",NA,1,7.25024789786824,6.52605369151785,5.87242267289961,9.03634665196074,8.91653549626254,8.80238730072152
"4550","AT3G27070",NA,-1,4.4299700475619,4.92826183191874,4.55422720562397,2,2,2
"4551","AT3G27080",NA,1,6.97626892792892,7.71893665620474,7.30381241603555,8.46222101765019,8.73520505267433,8.66585828482737
"4552","AT3G27100",NA,-1,8.44409858650494,8.09473658936192,7.89438924838973,7.22821080471029,6.99985380811149,7.10560749441009
"4553","AT3G27110",NA,-1,6.21375862108607,5.83024062922117,5.6098865090765,3.15335274431481,3.98260928360014,4.15100021737075
"4554","AT3G27170",NA,-1,8.20279761336717,7.7455206327279,8.04573982752487,5.61630820739083,5.33660080979433,4.73414734278387
"4555","AT3G27180",NA,-1,6.77256845583974,6.5713380674225,6.48822711544573,5.55751528538384,4.97969034011693,5.06597450992604
"4556","AT3G27200",NA,-1,9.0648374879683,9.51144177736176,9.25559874292443,5.18275487408347,2.79744305380934,2.7969577013078
"4557","AT3G27210",NA,-1,6.72014933314198,5.85486751820381,6.05270175460669,4.43495844000893,3.98260928360014,4.97869206705159
"4558","AT3G27230",NA,1,5.05566491276035,6.32920427442475,6.6649172546141,8.63210864222216,8.62085587589627,8.58320466718241
"4559","AT3G27270",NA,-1,7.14482581035434,7.01549018118908,6.17451397448708,3.78601255756177,4.30337050969142,3.78998435789377
"4560","AT3G27280",NA,1,6.05351992292658,6.29361706687807,6.42417068338477,7.80976412784835,8.2438561774483,7.77696303995636
"4561","AT3G27300",NA,-1,8.0833757212632,8.30594681043523,8.14842816311714,6.36379019406505,5.40520743874958,5.75876882201543
