Sample.Name,Atha_Col.0_Root_Zone.I_Rep1,Atha_Col.0_Root_Zone.I_Rep2,Atha_Col.0_Root_Zone.I_Rep3,Atha_Col.0_Root_Zone.II_Rep1,Atha_Col.0_Root_Zone.II_Rep2,Atha_Col.0_Root_Zone.II_Rep3
AT1G04850,826.1943137,816.8615685,827.7292224,780.8682862,716.540292,718.5139621
AT1G04860,80.69351075,107.3673048,67.6685941,103.2456666,142.5868062,128.8330281
AT1G04870,126.4556942,98.95058401,82.35144077,456.4160801,594.9588135,465.8572378
AT1G04880,0,1.031507147,17.42301619,1.819182658,6.13052393,1.717018498
AT1G04900,42.88538461,49.51061314,60.38876236,141.0118245,212.5529646,154.5288365
AT1G04910,77.4558633,160.960698,195.4274678,193.4624329,183.7181315,209.5072805
AT1G04930,6.463231676,9.212232353,43.70993456,38.02148164,30.66401972,38.34489298
AT1G04945,19.56479622,30.97957928,10.85974028,102.2077839,146.1632682,129.2187936
AT1G04950,70.38390601,49.74606866,48.30277693,102.4838964,103.3413138,103.4681838
AT1G04960,208.3987948,223.3871436,185.5898096,57.21046822,67.37663741,63.67507649
AT1G04970,262.4465866,133.3010357,120.1381056,94.30855521,71.30030569,75.61969519
AT1G04980,107.7189429,195.9646732,211.2771284,288.5034392,208.5251769,200.8795154
AT1G04985,117.5106439,107.704651,146.9647722,123.6973838,102.6297727,99.78551362
AT1G04990,307.351212,399.1777639,407.3326896,146.5507302,111.3345321,128.234824
AT1G05000,691.131622,561.0159269,346.4383797,16.17834593,12.85038558,3.710669204
AT1G05010,28.22612653,6.187246523,3.479330755,0.910939801,46.02945624,43.77730442
AT1G05020,19.89962609,9.288860532,25.63035915,0.906938032,1.019541388,0.858764863
AT1G05030,17.78736314,9.284604824,6.973293473,7.272562882,9.191879061,12.87839412
AT1G05055,95.15145059,64.97212358,97.4684118,159.3389775,214.7287284,161.3830346
AT1G05060,39.62912568,32.96105117,16.14156442,13.74334077,10.27264771,14.58363927
AT1G05070,45.87231338,33.98618595,55.3016977,212.7182833,236.3979275,223.0267742
AT1G05090,64.81252627,70.12060101,76.53660558,67.41702327,71.6072632,66.09438982
AT1G05100,12.53652963,6.185307432,18.52624346,9.123943606,7.168606808,1.716473779
AT1G05120,60.76065719,45.41720405,73.43863063,46.22770192,25.47783752,47.23476926
