Analysis.Id,FLT_Rep1,FLT_Rep2,FLT_Rep3,GC_Rep1,GC_Rep2,GC_Rep3,LN2_Rep1,LN2_Rep2,LN2_Rep3,RNAlat_Rep1,RNAlat_Rep2,RNAlat_Rep3
AT3G22330,280.0992387,165.2731989,186.5342434,243.3321056,213.2745983,209.8853452,218.3117397,168.6933818,147.4496441,275.5809163,292.1847996,219.3743657
AT3G22370,304.1738824,337.6404046,380.6431669,240.2743506,320.727343,295.480757,2389.657802,467.1158318,1250.833598,315.885983,1580.837934,544.1256826
AT3G22380,6732.062085,6523.32394,6292.508942,9440.598844,7547.755246,8055.753416,5814.766717,6281.377987,6600.236188,8638.399483,8437.053088,10166.39579
AT3G22400,104.397704,149.4277081,169.2086196,232.6531485,362.702368,264.9490752,429.480252,499.5381888,463.8334738,388.1867908,443.5302421,384.4296706
AT3G22420,114.5883804,109.0022245,107.2629676,91.87647867,55.81074628,91.27882277,58.69511745,68.3898311,54.01829144,58.49644003,79.33422709,66.29777706
AT3G22425,215.8773416,180.7548169,146.4296996,118.5723374,138.7550664,153.785614,187.9837326,142.7427857,206.3251489,142.4962641,119.4060214,157.3308855
AT3G22430,187.9752965,190.2946439,234.2436068,274.9859929,258.0829391,247.8867308,233.6471865,279.2256693,304.4379179,312.5468455,317.2885962,269.33256
AT3G22440,4613.215159,5370.660506,5233.4597,9632.665478,6377.971088,7435.861831,4333.925545,4013.370881,4407.033434,6489.492809,5311.634824,6200.12368
AT3G22450,26.16505209,22.23114418,23.11198428,17.91861646,20.15523859,33.66949801,11.35104182,10.84129265,4.18933396,25.87740042,24.59751456,38.72104494
AT3G22460,10.96554503,12.39618077,20.10181512,31.04947617,30.45002876,31.43406534,49.92309108,75.51066703,52.6722246,47.99040491,83.07867485,75.05829618
AT3G22480,427.6337679,299.8703237,326.7192067,390.4643561,285.6600076,423.63051,315.149786,279.3275902,285.1539709,324.3101592,249.7888714,274.0849247
AT3G22520,1043.496806,922.2465349,928.152718,1052.995529,811.6964156,925.9087125,868.2389088,767.7883949,737.9425852,833.5110039,733.6524396,765.6000235
AT3G22530,241.244988,310.5695036,297.5903617,362.1180528,287.2967493,306.049464,218.2762219,224.0026682,182.8885157,208.2957012,192.8444816,234.6350539
AT3G22540,167.8830697,236.2478806,159.3140387,64.44500052,37.74737958,65.69604565,69.82666875,68.70183064,62.61737267,31.90692031,43.84310708,56.49393458
AT3G22550,79.24734499,214.0098751,203.9610864,251.5967789,175.5622808,188.2993171,38.38364427,76.46132483,51.65347702,131.0612337,74.16156404,186.8031807
AT3G22570,73.81887325,92.46678436,95.76673544,110.2968301,141.6307246,142.0051841,65.10936447,145.5736133,164.958024,72.46083179,68.62905795,127.6166165
AT3G22590,180.4495873,138.9926198,159.5081893,161.5256252,153.1822339,154.8322371,182.6645356,127.4104738,147.2840232,157.9439766,166.2341917,137.9313793
AT3G22600,420.252341,626.4426118,584.9356265,419.2014439,900.1628086,684.9558197,1433.953832,1965.880615,2590.099987,1031.584052,5907.927655,1215.398843
AT3G22620,657.8230775,1021.673716,985.8322656,571.9692986,1213.648503,966.5314716,2076.205773,2241.639424,3127.568245,1251.272768,2887.169545,1176.528838
AT3G22630,514.358713,351.6109354,405.7753369,361.7448028,274.2107205,354.6631246,401.8799337,340.1354729,332.7401097,322.4771121,376.5101652,294.4031332
AT3G22660,310.2341398,228.6903681,256.75478,515.5109819,258.7142847,331.0593061,250.7681082,160.848347,131.6161909,199.9140738,208.6205269,206.3808743
AT3G22670,35.22789208,36.2343746,24.2753586,46.25845662,34.85902221,34.59773481,30.711129,43.89966608,30.61247714,30.24508533,20.33692491,30.40967007
AT3G22680,109.2965899,150.4164,126.6048003,93.24325836,136.6932777,118.568112,121.5523653,112.0671188,128.3738443,169.7233447,122.2234654,139.0053061
AT3G22690,39.94655577,39.97119241,43.88741162,46.5683196,44.12480954,23.60252463,50.62856354,23.89874238,24.68214733,34.54389409,31.82525066,37.64763315
AT3G22750,119.6773468,111.0081885,152.5747367,277.3772525,194.5905511,250.7329326,156.8419482,167.3001686,183.8555363,211.728347,194.0185568,139.0086224
AT3G22760,60.36720325,51.22501354,38.09818495,54.19221999,57.68156872,57.53347068,59.18254362,27.28192215,18.30302453,58.90544182,29.81612204,26.69670535
AT3G22780,655.6040702,553.7257077,576.7624065,376.2486565,476.0239102,405.6187039,535.3449132,533.2959448,463.6161126,485.6401251,359.4248966,477.8341638
AT3G22790,891.4618846,573.6586481,548.6531869,466.1322903,430.5848836,457.9431011,551.7443491,502.0021034,443.7028646,484.0486485,396.8609493,492.6366695
AT3G22800,475.1144265,529.5830708,957.8516527,1598.661801,1348.134163,1525.160251,1184.069316,896.5044018,2556.382039,552.8161752,2938.405503,760.2381522
AT3G22810,400.2301478,309.9568616,298.1081876,267.8133685,218.5846723,221.5833242,184.6304233,135.4163539,166.2401587,197.0261388,140.3732907,239.4641051
AT3G22830,310.3974069,1224.70863,942.4673737,147.7937523,539.7462972,376.5428927,18.40162457,38.19028463,17.20273428,614.9455252,824.513475,2140.726445
AT3G22840,993.4196234,1143.609992,1213.166369,32.54933264,349.2494355,175.6959793,244.2352313,56.35488634,80.01610322,443.4691964,324.989766,571.3791028
AT3G22845,782.3041758,649.4924185,547.9353413,465.4413673,486.0532933,559.2008363,665.8992173,711.9749368,683.4507594,510.4981877,649.6518842,590.0551091
AT3G22850,268.7220176,443.3126248,538.6029557,343.1028399,524.2119691,414.4006982,594.9214117,505.2022629,524.628052,362.872571,554.4205743,369.3109427
AT3G22880,112.8439684,118.6332861,102.7448749,34.79794922,59.41334668,42.81354533,45.14801229,75.97524025,53.16283672,69.39410382,62.86485952,66.64905797
AT3G22890,2857.946034,3146.231407,2925.886536,1680.708205,2621.224287,2067.36156,4305.788821,3393.079606,6711.884488,2338.955408,17230.45291,2640.209041
