Sample.Name,Atha_Col.0_HypocotylCC_WT_FLT_Rep1,Atha_Col.0_HypocotylCC_WT_FLT_Rep2,Atha_Col.0_HypocotylCC_WT_FLT_Rep3,Atha_Col.0_HypocotylCC_WT_FLT_Rep4,Atha_Col.0_HypocotylCC_WT_FLT_Rep5,Atha_Col.0_HypocotylCC_WT_GC_Rep1,Atha_Col.0_HypocotylCC_WT_GC_Rep2,Atha_Col.0_HypocotylCC_WT_GC_Rep3,Atha_Col.0_HypocotylCC_WT_GC_Rep4,Atha_Col.0_HypocotylCC_WT_GC_Rep5,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep3,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep3
AT4G01630,2.023844498,1.981140116,2.080058637,2.145170532,2.468131847,1.932194454,2.123530305,2.12494226,1.947124053,2.26888009,2.161142449,2.005837304,2.1326559,2.188339507,1.926316753,2.111412613
AT4G01650,2.320934734,1.785095743,2.43568178,2.286849048,2.40886428,2.914898231,2.196046241,3.036487544,2.877807234,2.076572098,2.167008329,2.159346678,1.970802292,1.983544237,2.034966291,2.199813249
AT4G01660,2.49214839,2.665465211,2.942642619,4.122332701,2.769390703,2.787880807,3.112108099,2.770586365,3.118688409,2.918598034,2.968029302,2.547827001,2.52136984,2.086554671,2.393063559,2.248463272
AT4G01680,1.976664591,1.76666328,1.893141816,1.759603445,1.787111029,1.92109965,1.951628533,1.856812985,2.172066778,1.917896834,1.804407721,2.185010245,1.928876343,2.272665569,1.958382674,1.809541687
AT4G01690,4.994073495,5.388584979,5.221042262,4.818425033,4.944881651,5.328937249,5.439283687,5.065120774,5.418991583,5.415741044,4.823415882,4.371416901,4.931866748,4.785887148,5.087415234,5.104605577
AT4G01700,1.793188455,2.129005816,1.743608653,1.793538299,1.791840809,1.634843359,1.812881956,1.593602691,1.6957065,1.748787242,1.933436099,1.972630811,1.785149608,1.792190653,1.8002295,1.984556041
AT4G01710,4.001457749,3.514414908,3.262369341,3.868928097,4.154339075,3.581973028,3.952258575,3.507382542,3.734690469,3.80696256,3.561513316,3.658919252,3.228742411,3.389178733,3.222633199,2.923794828
AT4G01720,2.468105055,2.483863217,2.235195562,2.311749139,2.088907175,2.422295343,2.198853808,2.604227654,2.306377104,2.194021286,2.086472395,2.396983975,2.204991311,1.913802997,2.449839519,2.129940737
AT4G01730,2.438615045,2.418126373,1.936175225,2.109866957,3.150188041,2.160334727,2.346244697,2.075385155,2.408330783,2.230849839,2.121691365,2.833455835,1.81293206,2.224602201,2.50682386,2.000149639
AT4G01750,1.589913481,1.7029619,1.55616173,1.587476065,1.726074321,1.705530677,1.69896464,1.631292067,2.077871853,1.723498164,1.585531593,1.72222099,1.703287472,1.657159406,1.667316406,1.554736605
