"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","Col0_GC_Alight_Rep1","Col0_GC_Alight_Rep2","Col0_GC_Alight_Rep3","Col0_GC_dark_Rep1","Col0_GC_dark_Rep2","Col0_GC_dark_Rep3","Ws_GC_Alight_Rep1","Ws_GC_Alight_Rep2","Ws_GC_Alight_Rep3","Ws_GC_dark_Rep1","Ws_GC_dark_Rep2","Ws_GC_dark_Rep3","Col0PhyD_GC_Alight_Rep1","Col0PhyD_GC_Alight_Rep2","Col0PhyD_GC_Alight_Rep3","Col0PhyD_GC_dark_Rep1","Col0PhyD_GC_dark_Rep2","Col0PhyD_GC_dark_Rep3","Col0_FLT_Alight_Rep1","Col0_FLT_Alight_Rep2","Col0_FLT_Alight_Rep3","Col0_FLT_dark_Rep1","Col0_FLT_dark_Rep2","Col0_FLT_dark_Rep3","Ws_FLT_Alight_Rep1","Ws_FLT_Alight_Rep2","Ws_FLT_Alight_Rep3","Ws_FLT_dark_Rep1","Ws_FLT_dark_Rep2","Ws_FLT_dark_Rep3","Col0PhyD_FLT_Alight_Rep1","Col0PhyD_FLT_Alight_Rep2","Col0PhyD_FLT_Alight_Rep3","Col0PhyD_FLT_dark_Rep1","Col0PhyD_FLT_dark_Rep2","Col0PhyD_FLT_dark_Rep3"
"26","AT4G31910",NA,-1,8.77876747702648,9.83919056421974,10.0174779056909,8.85668999623463,9.00523233822694,9.25965168305856,8.68636417489265,8.57558337467839,8.2271328521047,6.11775221394818,9.00011969207703,9.51245152922852,9.25574085095596,8.26836705408258,8.94628138289458,10.1924237451222,8.86719115355351,9.82000932620078,8.566906348044,8.71398548127854,7.15434940913084,6.36577322032631,8.03255660717475,6.93495756302095,7.16612171976005,6.90153929245643,6.80947464627082,7.05133871948637,8.67133925493858,8.88147767296265,7.44806948668663,7.00824866542876,8.16067196228471,8.26150851519293,8.21026599329092,7.23494862397867
"27","AT4G33980",NA,1,4.82757445401155,5.59167136315508,5.22622786093002,5.21903577121032,5.22749976693079,5.62002869516747,3.6762505520513,6.08537610450415,5.85408240340557,5.36165554342364,5.01251307654257,4.93422946246129,4.88508188844317,6.57888975265863,5.93581163680388,5.75761769529842,5.43135339896016,5.32458546141687,5.95824550241969,6.09356156649852,7.70567033004821,6.73724490008183,5.18399803951613,7.51970485217376,6.52157347044362,7.96033684572643,7.05326669171634,5.52056226061206,6.3006891797945,6.10513144033098,7.14241265358187,7.36696691832294,7.84131349940001,6.99438208439333,5.44678006820017,6.12800889311192
"28","AT5G01210",NA,1,6.15645149334554,5.70472616869227,6.22494118930394,5.18065441207926,4.83830419913394,7.55205824841616,5.80030770163607,6.6057730495381,6.62877820611348,4.29485007985443,6.32301155748094,6.35320525462105,6.95289316296978,7.01216349162349,7.86941605745875,6.66188328011486,6.61418931457607,6.96458111257073,6.95683265754596,8.35056085267275,8.8915942493983,7.749447974643,6.08162475544811,8.13014461555104,7.55118932492147,8.75606616896954,7.18584078075324,6.71905073817201,7.75940400723477,7.23243530944944,9.47964551951558,9.31848278039781,7.6363626316251,7.43938158643179,7.01992729181805,7.20639161381575
"29","AT5G05960",NA,-1,7.18479679537573,10.2429349731714,10.2542541507479,9.45569303636523,9.28107637492361,10.1034582457493,7.5803626981679,9.49518630209391,7.62100823122024,6.13790326949943,9.15867375636152,9.51633462852698,9.14490813306882,6.56394889906984,10.0000057510766,10.0297588445965,10.5893829058147,10.6154646622163,4.48683332755578,5.79766839808164,6.88359709871952,5.71252465594361,9.25470204991941,7.21905055133472,6.34222074703842,7.30748630586274,7.05326669171634,9.03450972574529,9.05461708707786,8.88447971321157,8.74014037861502,6.88178957728301,6.69948538639911,8.24761768065879,4.57336949402454,5.93264788896608
"30","AT5G13330",NA,1,6.68027584243626,6.08488750283394,6.20584952952824,5.05897495915512,5.59373864929028,7.9688454424427,5.09826312816022,7.02056023884942,7.69784501042686,3.43793378745513,5.3933493103621,5.76009252005865,7.12526949843067,7.79863587539159,6.63933400379539,5.186624449243,6.36288841689276,6.91881473490288,7.76358165084596,7.79564877288881,8.38179745110668,8.24019254944917,5.78084305496138,8.85373038854718,8.28786406772896,7.85874518056487,8.21922306905654,5.7204456623461,7.58542713172648,7.40123757900676,8.38565702970894,8.48210822088431,9.0313579639832,8.21942821662791,8.45791001314507,8.31709033245341
"31","AT5G17300",NA,-1,7.24171553503125,7.81454179727144,8.17573121660976,5.67062333189707,5.909396707795,7.09377529347555,7.47350319713765,6.70427076862829,6.85303310465714,4.97035716958621,5.13767338333945,5.6792694658504,6.67622352409076,7.11824400135675,7.51992320555329,4.73309123487921,4.97298463502277,5.58115461235452,4.35633446913578,3.87918403135159,4.49348701541825,4.71595983844823,5.33179295136025,3.15891192121607,4.14316296119249,3.16685196606733,5.22622795532439,5.01172568915708,6.02339405554604,5.67679899230232,5.29647765925257,4.73279078740593,4.97416683473024,6.03894676542727,6.19628656700027,5.47087019252989
"32","AT5G19790",NA,1,2.79231862684161,5.97647761673895,4.67992674486375,3.30261768275283,2,2.79630410064126,2.7924285620237,5.02281146664164,2.98475144279221,2.98313589108561,3.43641594580392,3.68459122393579,2.31692449792987,5.30220236771546,3.68685666514634,5.186624449243,3.56442540016955,2.57287322942405,4.21284670348216,6.21203300305491,4.7238643948321,6.22339601248055,2.98578494642315,4.88967326929365,5.85050789804097,6.40411575406154,5.67804748246996,5.09635414069162,6.78579422639788,6.40183853754039,3.88618720189966,6.08406864812369,5.01844811054714,6.34756161469688,4.38105694091305,3.1571668956597
"33","AT5G25190",NA,1,2.57328117374159,3.6831064744594,2.79700168806982,3.43894252968014,3.4449325555676,3.98060515552747,2.31498167372888,2.79686972153975,2.57481472461755,2,3.14985238695893,2.7975644961925,3.98114635371816,2,2,3.88814664480989,5.49536045617872,4.05957672838299,4.13537018156241,3.55979681801586,3.30014669941153,4.76818215923689,4.56119233096585,5.33961958476554,3.97420234451514,5.12438061479017,4.73423549077817,4.66899775730148,4.83872111603483,3.78909550663275,5.01954872087764,4.62206924073958,5.75396852730131,4.73032002497918,5.15755580528687,4.06987229954806
"34","AT5G37260",NA,-1,7.07422921719639,7.99209507538461,8.45173431108409,7.6893897228574,7.67108181432055,8.70564698055555,7.60226655769824,8.34640195105525,8.35772723811418,6.66783180831721,6.98716530169322,7.86618506714667,8.29705239459126,7.34492369971708,8.59525056855477,7.18453106821106,6.44622090801981,7.44806729381785,4.91544520433215,5.69290191472441,6.11534025807301,6.04439173507682,6.41569805065314,5.53640737988018,6.21526362675638,6.14452339728896,6.53135611376553,6.37393175533665,8.02237012866285,8.48245037451216,6.52749857512741,5.92991185618229,6.14202163420372,7.38119410762122,7.82552530918568,6.2449464173496
"35","AT5G48175",NA,1,4.49443745653309,5.95378263545949,5.93150062532152,4.83015436394363,5.02433304735358,6.31522273126222,3.6762505520513,5.06579197123796,5.3984844872319,2.79291207435723,3.14985238695893,5.18900341802138,4.9779799852631,6.35416996916701,5.56694995211069,5.46852824570695,5.77866900509224,5.25262053468247,6.10771414228694,6.19295110190617,6.93047908839564,7.05358408195666,5.99557093234974,7.52743819905184,6.45890368109378,6.74955674001484,6.18650193137384,4.72323147099769,5.56447412796157,5.22501839320305,7.04935615556334,7.27846972224813,6.92559775777163,7.22926724825211,6.74148273670144,6.00075028602148
"36","AT5G50120",NA,-1,5.55260846107044,7.05246147854031,7.49196066597336,5.90055049437924,5.73374243384902,6.24222629715424,4.96935936511034,4.50328275622857,5.87829498532011,5.01462163177567,4.82671310921835,5.47095927013732,6.36833378688908,5.40638505654552,6.92349686920026,6.16561951482768,4.83136857718848,5.7734224354143,4.76922711354231,4.61207488399485,3.78138714405184,3.77478526322496,5.40037500846203,2,3.88167126170071,4.99515700074711,2.98791403288416,3.56024754712417,5.59418318783046,6.02033199769495,4.50021865806543,2.57635622072656,4.14698513729675,4.92907270139001,4.23694699305412,2
"37","AT5G66170",NA,1,6.87275074817746,7.34183173486569,6.59143451753832,6.39545548287772,6.67847515612134,7.15471218515695,7.37515453852202,7.24284537118943,7.38791719394441,8.02187089870159,6.37478721658366,7.23504393200914,7.7368262804997,8.29575550938362,6.66760783323388,7.24183703652,6.90084523027001,5.82395743217912,8.36957737386806,7.35531676138141,9.0485933800113,7.2499997964304,7.32968408189753,8.49996998292294,8.64179805749851,9.1843263649606,8.89776877628401,7.72501328303905,6.83639255640329,6.99753482054187,8.36005239028177,9.74233013887744,9.75029359019778,6.9378344399351,9.85187042014413,10.2750899245111
