Analysis.Id,50kPa_notsuppO2_Rep1,50kPa_notsuppO2_Rep2,50kPa_notsuppO2_Rep3,50kPa_suppO2_Rep1,50kPa_suppO2_Rep2,50kPa_suppO2_Rep3,97kPa_CTRL_Rep1,97kPa_CTRL_Rep2,97kPa_CTRL_Rep3
AT5G45410,6.613966216,6.459433694,6.648519473,6.359638208,6.724035654,6.497849166,6.529164097,6.424334901,6.5586993
AT5G45430,5.016586645,5.320364902,5.165658757,5.13910371,5.165658757,5.199317013,5.165658757,5.262038485,5.16739786
AT5G45470,2.682891525,2.35522764,2.427520215,2.398516281,2.54980917,2.427520215,2.464374032,2.427520215,2.295645344
AT5G45480,4.285888773,4.083116226,4.099504163,3.958412153,4.210007587,4.397094299,4.057792882,3.723144874,3.984249302
AT5G45490,4.325744698,3.898820512,3.786996959,3.983728713,3.873379673,4.220544038,3.950348289,3.758188549,3.950348289
AT5G45500,7.706449061,7.399311245,7.399966321,7.46090072,7.598382215,7.736231527,7.37550063,7.45172955,7.550250755
AT5G45510,5.861101437,5.627781799,5.717337813,5.58223077,5.591314078,5.977081089,5.819327803,5.717337813,5.701212952
AT5G45550,6.36450754,6.316334464,6.085089465,6.272558111,6.200574056,6.541763517,6.316334464,6.299521691,6.316334464
AT5G45560,4.440545106,4.556014393,4.556014393,4.673603606,4.207296294,4.723173552,4.347503233,4.787457905,4.603267563
AT5G45590,6.08135234,6.131636045,6.110205454,6.358396932,6.10994304,6.103695141,6.014567727,6.070660796,5.847984714
AT5G45600,6.174769698,5.901038003,6.110769433,6.215683098,6.148136874,6.275659645,5.677314875,6.119416858,5.932708338
AT5G45610,3.096478581,3.105542289,3.251754954,3.105542289,3.146717035,2.983188537,3.084843527,3.138296745,3.145219506
AT5G45620,6.517124861,6.61724971,6.26764133,6.517124861,6.559308906,6.628665101,6.536729506,6.425838529,6.537630528
AT5G45630,2.185140364,2.250187995,2.213305538,2.109033054,2.185140364,2.18143652,2.274888252,2.165751381,2.185140364
AT5G45650,2.610269657,2.617627276,2.474453878,2.661090362,3.157489722,2.883685456,2.540088563,2.673984391,2.690567777
AT5G45700,3.866145394,3.680964161,3.60003543,3.51332138,3.400656664,3.027385795,3.585006592,3.592822192,3.096978455
AT5G45710,4.310684521,4.118780413,4.380789081,4.614898798,4.152894875,4.344245959,4.465568858,4.487788152,4.317633855
AT5G45750,7.296767477,7.144617909,7.015132064,7.253302451,7.178707797,7.123721309,7.208728045,7.000953314,7.200780104
AT5G45760,5.170116824,5.170116824,4.826725653,5.262259775,5.142487236,4.965212469,5.237174299,5.352925506,5.17112389
AT5G45775,9.806229849,9.518443811,9.35679198,9.517599548,9.762277087,9.517599548,9.452433844,9.486636975,9.409057966
AT5G45780,3.531081372,3.560927985,3.501372072,4.113328271,3.633532916,3.592764799,3.531081372,3.293342445,3.313299263
AT5G45790,2.274797023,2.409039827,2.360258922,2.512502452,2.526902255,2.50910921,2.240742717,2.409039827,2.512943167
AT5G45800,4.815094419,4.931290972,4.83850867,4.824543558,4.841819713,5.275058349,4.753129058,4.869714039,4.739641746
AT5G45810,2.945158985,2.840971032,2.853818615,2.938684385,2.945158985,2.945158985,3.144088267,2.945158985,3.27614002
