Sample.Name,Atha_Col-0_Root_Zone-I_Rep1_Array,Atha_Col-0_Root_Zone-I_Rep2_Array,Atha_Col-0_Root_Zone-I_Rep3_Array,Atha_Col-0_Root_Zone-II_Rep1_Array,Atha_Col-0_Root_Zone-II_Rep2_Array,Atha_Col-0_Root_Zone-II_Rep3_Array
AT1G65510,2.882452689,2.6225062,1.995069485,4.958414865,3.208407268,3.215491974
AT1G65520,4.101462089,4.148772685,4.091869229,4.810468611,4.325407742,4.442032683
AT1G65540,4.659121104,4.303415478,4.506438156,4.841479445,4.808043122,4.611292376
AT1G65560,4.164461679,4.399996349,3.34021839,3.960463279,3.475388962,3.421815608
AT1G65570,2.7429126,5.753900516,6.178419627,2.154928461,1.904310052,1.865328441
AT1G65580,5.89979675,5.774282734,5.623976277,6.312628366,6.261802798,6.069805752
AT1G65590,3.537010169,3.813643557,3.798806741,4.495147654,3.796829871,4.481111304
AT1G65610,3.921578713,3.231407307,3.141107934,7.397559407,7.143571724,7.498671165
AT1G65650,6.562346423,6.611422619,6.740800343,5.370852553,5.853928111,5.518904589
AT1G65660,8.066323607,7.601820574,7.676979218,6.797319102,6.799133753,6.884170166
AT1G65690,1.82197925,1.967859392,1.747068155,5.477167362,5.173678987,3.709923077
AT1G65700,8.025533096,8.071449493,8.222375044,6.316156037,6.186189616,6.415858338
AT1G65720,7.274774942,6.884506282,7.319338568,8.057379186,7.83921337,8.114733457
AT1G65730,3.640385267,3.520545388,3.996103136,2.392497721,2.235197669,2.941307575
AT1G65820,7.663377221,7.34370015,7.361172417,8.297219036,7.900660195,7.981582868
AT1G65840,8.224920072,8.018572441,7.846539737,9.719499393,9.752716677,9.82879949
AT1G65850,1.576105494,1.781948864,1.677420479,1.479314261,1.597100223,1.778306815
AT1G65860,1.617750108,1.962860754,1.6713113,1.537914712,1.562541788,1.850640276
AT1G65900,6.372210892,5.830953782,6.193217955,3.381678997,4.453224673,4.911944447
AT1G65910,2.262992921,1.96204287,1.995069485,1.976136288,2.029529917,2.451783787
AT1G65920,5.562531586,5.353459162,5.518736663,5.030226102,5.445585551,6.165720078
AT1G65930,11.21680321,11.10616974,11.14841791,11.45358762,11.21621548,11.2641193
AT1G65950,5.715058325,5.617966963,5.323019617,5.009722722,4.808043122,4.772418865
AT1G65960,5.594824697,4.585042737,3.900532813,8.387426605,7.927442543,8.043366125
AT1G65970,2.770392897,3.229859632,3.226228561,3.488052724,3.356988469,3.426827547
AT1G65980,10.80708979,10.57375662,10.67806167,10.32721566,10.02203103,10.10691673
AT1G66020,1.501137809,1.875713907,1.50489154,2.062381352,2.068239408,1.833850875
AT1G66070,7.732734333,8.183626403,7.772227111,6.684522074,7.020005379,6.935432465
AT1G66080,2.567053143,2.734063332,2.684080328,2.258117314,1.860589549,1.98585892
AT1G66130,1.907387259,1.893617209,2.250947907,1.856346463,2.18220678,2.437687395
AT1G66140,3.979076414,3.512252554,3.856983666,3.918694159,3.786098931,3.575353483
AT1G66150,8.086890521,8.164436809,8.150658249,8.193725999,9.07618053,9.084418107
AT1G66160,1.270951303,1.563687065,1.3109872,4.869533082,4.290936458,3.907693981
AT1G66170,1.609865581,1.637303514,1.872899761,1.810375064,1.823341297,2.125667109
AT1G66180,3.275132135,2.732540833,3.138889834,7.233120659,6.906851658,6.911948201
AT1G66200,2.379607564,2.710839063,2.354115245,5.619503082,5.022545407,5.112027539
AT1G66230,2.410796177,1.894507276,1.863732678,5.270290343,5.370182997,4.342829231
AT1G66240,9.422656379,9.129884606,9.328913832,9.397302856,9.311664469,9.327544566
AT1G66250,5.945150658,6.639858241,6.568163327,3.566402559,3.391395387,3.347108383
AT1G66260,8.487963809,8.485815202,8.427516652,8.322347696,8.163265261,8.393675346
AT1G66280,10.55394915,10.32848786,10.45581414,9.765129158,10.17839189,10.48036424
AT1G66330,4.170098606,3.620501103,4.117057104,3.400845181,3.39981657,3.324667571
AT1G66340,5.789859422,5.725554854,5.513905309,6.292904547,6.064115566,5.848966376
AT1G66350,3.607393308,5.130363193,4.314025517,4.037435217,3.865578071,4.096586741
AT1G66400,4.371578261,3.691276027,4.317585562,3.528344379,2.953439826,4.347771897
AT1G66410,9.681584198,9.395787737,9.559983521,8.884484215,8.899466792,9.088706391
AT1G66430,6.033326175,5.74467948,6.113097476,4.084687772,4.707737334,4.443243847
AT1G66440,2.362019178,2.560990147,2.569781645,3.362917748,3.439443485,4.896780392
AT1G66450,2.481202046,2.598528715,2.497626953,2.975170548,2.699654885,3.115138496
AT1G66460,2.611715717,1.739278396,2.478361975,4.410137607,3.806503247,3.380345417
AT1G66470,5.739880931,5.800386625,5.532828207,4.982827251,4.627302846,5.203109007
AT1G66480,2.095982733,2.710839063,2.546748948,4.93264496,4.272016281,4.46834934
AT1G66500,1.950360503,2.053739002,1.666817544,2.415255583,2.463992911,2.26120625
AT1G66510,4.050371239,4.331384379,4.039629833,2.573661293,2.82103586,2.941940839
AT1G66520,3.544249715,3.507106055,2.755703405,1.88650853,2.179198384,2.222529102
AT1G66530,6.327263459,6.750864474,6.610937552,4.883251845,5.33126662,5.12724321
AT1G66540,3.29274053,3.603926216,3.604376008,4.412687065,3.646936731,4.00613482
AT1G66580,10.76424662,10.60573718,10.94437392,9.440581522,9.202033358,9.589005976
AT1G66590,8.202981675,7.655600601,7.981207013,6.135028813,6.156898861,6.154757158
AT1G66620,5.349659863,5.540597783,5.441718171,4.175562191,4.69843312,4.91342016
AT1G66650,2.267545866,1.98763189,2.297645974,2.55589352,2.383222792,2.433057006
AT1G66660,4.443508045,4.278121885,3.725974479,2.393926943,3.025197941,3.072037881
AT1G66670,5.796199083,5.588521789,5.578009725,4.860870444,4.771466145,4.964256258
AT1G66680,7.115014119,7.188311334,7.190083618,6.925211287,6.933486108,6.866573341
AT1G66700,2.012993127,2.022982502,1.733677045,3.023697193,3.16395803,2.291053674
AT1G66730,4.316894096,4.267859334,3.47813465,2.981569168,2.884662767,2.589758429
AT1G66740,5.056572349,4.836997359,5.141471507,4.326516868,3.893046779,3.747387667
AT1G66750,4.27274702,4.55184494,4.268051544,3.880178191,3.154078009,3.680566162
AT1G66760,2.566132945,2.41417233,2.781487315,2.514647362,1.742598191,2.318687088
AT1G66800,6.375929046,5.871944759,4.760054441,4.056820558,3.015168207,3.269116521
AT1G66810,2.888585918,2.737325779,2.557709561,2.830041387,3.766416059,2.437162719
AT1G66820,5.479933383,4.865820022,5.353726334,4.304327125,3.807698873,4.335672616
AT1G66830,1.456312913,1.569899854,1.533326786,1.638821699,1.385862464,1.486393381
AT1G66880,4.50111265,4.680232899,4.539731125,6.614656885,6.258175199,5.734357183
AT1G66890,4.080389165,3.087852666,3.670032998,5.247737009,5.32845611,5.01843025
AT1G66900,2.140602604,1.962124383,2.130282486,3.303318626,3.240371696,3.6382821
AT1G67030,5.831110529,5.070779782,5.638966526,7.261280595,6.249444762,6.579038765
AT1G67040,2.656245057,2.755858526,2.134420037,2.575946279,3.174416301,3.705610412
AT1G67050,3.326530104,3.144724873,2.950236917,3.786525226,4.352911091,4.568249
AT1G67060,3.826143802,3.655294641,3.913336022,4.955975808,4.478625499,4.604866691
AT1G67070,2.131223746,2.908338464,2.804124219,2.824643362,2.580289687,2.664002544
AT1G67080,3.116995978,3.377314952,3.015043792,6.061512278,6.846811579,5.3438505
AT1G67110,1.688345846,2.087851776,1.861231056,2.670733326,2.234949937,2.026466489
