"","1: upregulation, -1: downregulation","Symbol","ZoneII-ZoneI","ZoneI_Rep1","ZoneI_Rep2","ZoneI_Rep3","ZoneII_Rep1","ZoneII_Rep2","ZoneII_Rep3"
"92","AT1G51800",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.32192809488736,3.32192809488736
"93","AT1G51830",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.4594316186373,3.4594316186373,3.4594316186373
"94","AT1G51840",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.58496250072116,3.58496250072116,3.58496250072116
"95","AT1G51850",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.16992500144231,3.32192809488736,3.32192809488736
"96","AT1G51860",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,3.16992500144231
"97","AT1G51880",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3,3.16992500144231
"98","AT1G52050",NA,-1,3,3.4594316186373,3.4594316186373,2.58496250072116,2.58496250072116,2.58496250072116
"99","AT1G52060",NA,-1,3.32192809488736,3.58496250072116,3.58496250072116,2.8073549220576,2.8073549220576,2.8073549220576
"100","AT1G52070",NA,-1,3.4594316186373,3.70043971814109,3.70043971814109,2.58496250072116,2.8073549220576,2.8073549220576
"101","AT1G52660",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736
"102","AT1G53430",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.32192809488736,3.32192809488736,3.32192809488736
"103","AT1G53830",NA,1,3.16992500144231,2.8073549220576,2.58496250072116,3.4594316186373,3.58496250072116,3.58496250072116
"104","AT1G54540",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.32192809488736,3.16992500144231
"105","AT1G54790",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.4594316186373,3.4594316186373,3.32192809488736
"106","AT1G54940",NA,1,2.58496250072116,2.58496250072116,2.32192809488736,3.16992500144231,3,3.16992500144231
"107","AT1G54970",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.70043971814109,3.70043971814109,3.8073549220576
"108","AT1G55290",NA,1,2.58496250072116,2.32192809488736,2.58496250072116,3.32192809488736,3.16992500144231,3.16992500144231
"109","AT1G55450",NA,1,2.32192809488736,2.58496250072116,2.58496250072116,3.16992500144231,2.8073549220576,3
"110","AT1G55670",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.32192809488736,3.32192809488736,3
"111","AT1G56010",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,3
"112","AT1G56680",NA,-1,3.32192809488736,3.32192809488736,3.4594316186373,2.58496250072116,2.58496250072116,2.58496250072116
"113","AT1G57560",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.4594316186373,3.4594316186373,3.4594316186373
"114","AT1G57590",NA,-1,3.58496250072116,3.4594316186373,3.4594316186373,2.8073549220576,2.58496250072116,2.8073549220576
"115","AT1G58070",NA,1,2.32192809488736,2.32192809488736,2.58496250072116,3,3.16992500144231,3
"116","AT1G58360",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3.16992500144231
"117","AT1G58370",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.4594316186373,3.4594316186373,3.32192809488736
"118","AT1G59730",NA,1,2.58496250072116,2.58496250072116,2.32192809488736,3.16992500144231,2.8073549220576,3
"119","AT1G59870",NA,1,2.8073549220576,2.8073549220576,3,3.58496250072116,3.4594316186373,3.58496250072116
"120","AT1G60680",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.70043971814109,3.58496250072116,3.58496250072116
