Sample.Name,Atha_Ler.0_sShoots_FLT_Rep1,Atha_Ler.0_sShoots_FLT_Rep2,Atha_Ler.0_sShoots_FLT_Rep3,Atha_Ler.0_sShoots_GC_Rep1,Atha_Ler.0_sShoots_GC_Rep2,Atha_Ler.0_sShoots_GC_Rep3
AT1G29220,3.672079931,3.009652952,3.305307411,2.46625085,2.449652332,3.875756164
AT1G29230,1.669200829,1.560648306,1.283590692,1.779208912,2.16057567,1.748401664
AT1G29240,3.499328742,3.698101941,2.914835495,3.784454914,3.779901028,3.790130177
AT1G29250,6.498053102,6.923456019,6.681214444,5.916420892,6.713363337,6.41718102
AT1G29260,5.990077534,5.811529167,5.827332821,6.406729539,5.303625768,5.889156678
AT1G29270,1.912310059,2.438111679,1.894582911,1.67099931,1.444997234,1.203195486
AT1G29280,6.364615866,6.72235078,6.246926541,6.465580794,6.309740364,6.280670466
AT1G29310,4.445747383,3.832736015,4.323697614,3.638108399,2.96011866,2.774897602
AT1G29330,1.823384894,1.591395021,1.811098697,3.022340577,3.144622235,3.42767949
AT1G29340,7.586406641,7.39425873,7.157299843,7.766239972,7.30372757,7.816284193
AT1G29350,8.064937675,8.154208413,7.971744646,8.027919709,7.949307811,8.344163832
AT1G29390,2.454628036,2.423775039,3.054417793,2.179641143,2.749572916,2.133632234
AT1G29395,2.392225308,2.048347291,2.833593749,1.619156643,1.275717131,1.578468921
AT1G29400,6.674128874,6.412799345,5.913335146,6.17139722,6.29676258,6.442342305
AT1G29410,4.26665405,4.228958457,4.336829136,4.190220671,3.132974114,3.598508325
AT1G29470,7.333930351,7.118082994,6.879512212,6.231109204,5.545520581,5.35510588
AT1G29500,2.382391435,2.353642396,2.27877549,1.589470616,2.198358689,1.888689068
AT1G29520,1.811112516,1.877630277,1.858586584,1.62128674,1.612004053,1.704328112
AT1G29530,1.11714174,1.293868099,1.177717323,1.402223361,1.27439026,1.040226285
AT1G29630,1.142969358,1.010679611,1.175623661,0.859224438,1.140725286,1.025399056
AT1G29690,3.773485666,3.842520134,3.628288106,3.770955562,3.589579423,3.584503463
AT1G29700,0.863092581,1.144809866,1.21664899,1.309154646,1.430912196,1.215209522
AT1G29710,1.491634497,1.684533651,1.460016194,1.514315399,1.323327567,1.511201229
AT1G29740,1.082948663,0.958420578,1.10858687,1.422604891,1.357949648,0.98167579
AT1G29750,3.239159155,3.65494777,3.366494643,3.453501811,3.939323057,3.310866452
AT1G29760,5.157107787,4.805052896,5.194811143,5.189135589,5.221443854,6.292507718
AT1G29770,1.545236442,1.444602853,1.530620483,2.1283719,1.570488849,1.476431503
AT1G29790,4.253938949,4.672270086,4.52064469,4.128566781,4.293101067,4.308801224
AT1G29820,1.463002496,1.953278527,2.164962179,2.422484612,2.886319516,2.538351359
AT1G29850,7.934521347,7.714649261,7.68496826,7.709084491,7.461045061,7.588358009
AT1G29860,1.455265527,1.827548205,1.549168297,1.796625519,1.186810534,1.194118341
AT1G29880,4.87898544,4.856321055,4.912944134,4.255308622,4.006380115,4.701543688
AT1G29900,5.520566882,5.551778803,5.334470479,4.997530083,5.389757816,5.423520372
AT1G29910,1.754361232,2.273997081,2.05226128,2.033595304,1.937886848,1.353998302
AT1G29940,4.521628753,4.068151043,4.411971986,3.228532242,4.006677746,4.73527824
AT1G29950,3.449993274,3.342900693,3.568222236,1.95070777,2.585928697,2.740622169
AT1G29970,6.037259175,6.35596777,5.920106832,6.352708541,6.313935877,6.218982958
AT1G29980,3.889788719,4.089024631,3.855003004,1.678763246,3.455512156,3.609067317
AT1G29990,6.496081156,6.141048338,5.690893863,6.497866289,5.054630947,5.627733366
AT1G30000,4.572092468,4.275078073,4.552414591,4.462605666,4.092478706,4.830015515
AT1G30010,1.289407493,1.431929121,1.385223868,1.605660084,1.578430352,1.337208489
AT1G30020,2.493485688,2.896239209,2.51655633,2.910795498,2.396718554,2.463374581
AT1G30040,5.634609059,4.584233185,5.254011835,5.01624178,5.679137295,6.253658058
AT1G30070,3.112432386,3.252665557,2.855673003,3.400750997,4.244287128,3.937973523
AT1G30080,1.984859714,1.549206137,1.681619233,2.232988149,1.283971281,1.098308602
AT1G30090,5.177147994,4.91231155,5.20417965,4.79261572,4.89102935,5.404290347
AT1G30110,4.224107183,4.059323738,3.82060519,4.29429782,4.233845237,4.009464762
AT1G30120,3.854736031,3.587528794,2.865614217,2.369574056,1.855728183,1.418236705
AT1G30130,5.768691197,5.549313398,5.453533163,5.861554456,4.551989517,5.223431987
AT1G30200,6.053585466,5.51506996,5.83631348,5.87730759,6.602173802,6.862358161
AT1G30220,1.506040521,1.418984076,1.012737032,1.384672707,1.564270977,1.229651611
AT1G30240,2.541493713,2.385518829,2.528917299,2.416453668,2.130849053,2.711604165
AT1G30260,1.264584011,1.466317523,1.503991717,1.140901383,1.314818945,1.007909453
AT1G30270,5.579779088,5.836647003,5.727488193,5.368224874,5.517851861,5.276539458
AT1G30290,2.373025406,1.84636539,1.922670621,2.122316553,1.943370978,2.093663018
AT1G30300,2.776699369,2.324981152,2.824125706,2.965150724,2.33766805,2.376982361
AT1G30330,4.591690307,4.695641857,4.879606333,3.885711871,3.653582187,3.806360224
AT1G30360,6.516527822,6.983881594,6.635665879,6.014291589,6.365228205,6.090441657
AT1G30370,2.70130141,2.700220682,3.312373488,3.137514324,3.589578799,2.253617355
AT1G30380,4.399561338,4.970817725,5.357542289,5.046872188,4.314115157,3.273027938
AT1G30400,4.559737486,4.655732499,5.024438759,4.482636427,4.778777287,5.192285634
AT1G30410,2.896781216,2.869902395,2.368353986,1.549032306,2.648926272,3.46662091
AT1G30440,5.408071943,5.332165595,5.298719109,4.349680534,3.925865342,3.801721244
AT1G30460,2.386590406,2.561588153,2.375466904,2.633557398,2.018645662,2.370802134
AT1G30473,1.418804353,1.243015292,1.243570714,1.295861518,1.616373629,1.398705776
AT1G30480,5.332097427,4.258610834,4.391865916,4.383838631,3.093483192,4.920363472
AT1G30490,2.092452741,1.86717809,2.275113148,1.678763246,1.501693046,1.792365958
AT1G30510,3.623066198,3.39060455,2.782625435,2.049482044,2.702223524,2.20004951
AT1G30515,1.209167701,0.980292113,1.324323211,1.540430374,1.141023555,1.141023555
AT1G30520,2.413331301,2.740609839,2.807910286,1.991122663,1.90725183,1.728634241
AT1G30530,4.927316942,4.718556486,4.668751918,3.7931628,3.644322901,3.371155841
AT1G30540,4.375298731,3.650718845,4.206861451,4.20384174,3.557366489,4.57226104
AT1G30545,1.616435332,1.501765269,1.45858466,1.675647524,1.409532581,1.653110638
AT1G30570,3.130053279,3.042977901,3.559083368,2.567000184,1.874566043,2.988027213
AT1G30580,6.557434912,6.482860616,6.67648612,6.248720209,6.602550511,6.424017334
AT1G30600,2.882888072,3.169134809,2.875360221,2.444435907,1.519617485,2.093336401
AT1G30610,2.947275363,2.577920309,2.998913513,2.283677529,1.682425259,2.753971863
AT1G30620,2.1660039,2.160387406,2.543126537,2.923616834,2.437514102,3.32308511
AT1G30630,6.37744534,6.520684535,5.636551047,5.929249072,5.155792776,5.465065644
AT1G30640,3.029905779,3.480837914,3.206366869,3.712847967,2.859603321,3.171271417
