"User_ID sorted by SD","Ensembl_gene_id","symbol","sl_FLT_BA_Rep1","sl_FLT_BA_Rep2","sl_FLT_BA_Rep3","sl_FLT_BA_Rep4","sl_FLT_BA_Rep5","sl_FLT_BG_Rep1","sl_GC_BA_Rep1","sl_GC_BA_Rep2","sl_GC_BA_Rep3","sl_GC_BA_Rep4","sl_GC_BA_Rep5","sl_GC_BG_Rep1","UdCC_FLT_BB_Rep1","UdCC_FLT_BB_Rep2","UdCC_FLT_BB__Rep3","UdCC_FLT_BB_Rep4","UdCC_FLT_BG_Rep1","UdCC_FLT_BG_Rep2","UdCC_GC_BB_Rep1","UdCC_GC_BB_Rep2","UdCC_GC_BB_Rep3","UdCC_GC_BB_Rep4","UdCC_GC_BG_Rep1","UdCC_GC_BG_Rep2"
" AT1G09200","AT1G09200","",2,2,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,3,1,1,2
" AT1G09230","AT1G09230","",1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,1,3,1,1
" AT1G11310","AT1G11310","",2,2,1,2,2,2,3,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1
" AT1G15410","AT1G15410","",1,3,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2
" AT1G17120","AT1G17120","",1,2,1,2,2,2,1,2,1,2,1,1,2,3,2,1,1,1,2,1,1,1,1,2
" AT1G23760","AT1G23760","",1,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,3,2,1,1,1
" AT1G30300","AT1G30300","",2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,3,2,2
" AT1G47480","AT1G47480","",2,1,2,1,2,1,1,3,2,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1
" AT1G48480","AT1G48480","",2,2,1,3,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1
" AT1G49230","AT1G49230","",2,2,2,2,2,2,1,3,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1
" AT1G61065","AT1G61065","",1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,3,1,2
" AT1G61900","AT1G61900","",2,2,2,2,2,2,1,2,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1
" AT1G64460","AT1G64460","",1,1,2,1,2,2,2,1,2,1,2,1,1,3,1,1,1,2,1,1,2,1,2,2
" AT1G74210","AT1G74210","",1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1
" AT1G79985","AT1G79985","",2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,3,1,2
" AT2G02370","AT2G02370","",2,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,3,2,2,2,1
