Sample.Name,Atha_Col.0_wo_act2.3_FLT_Rep1,Atha_Col.0_wo_act2.3_FLT_Rep2,Atha_Col.0_wo_act2.3_FLT_Rep3,Atha_Col.0_wo_act2.3_GC_Rep1,Atha_Col.0_wo_act2.3_GC_Rep2,Atha_Col.0_wo_act2.3_GC_Rep3,Atha_Col.0_wo_WT_FLT_Rep1,Atha_Col.0_wo_WT_FLT_Rep2,Atha_Col.0_wo_WT_FLT_Rep3,Atha_Col.0_wo_WT_GC_Rep1,Atha_Col.0_wo_WT_GC_Rep2,Atha_Col.0_wo_WT_GC_Rep3
AT4G09030,9.513646754,9.580319901,9.069087616,9.782453836,9.803093898,9.86230431,9.357483157,9.262794209,9.503221091,9.729672998,9.804330782,9.792002658
AT4G09040,3.766082181,3.655218579,3.697620176,3.711053296,3.712256223,3.559137441,3.855727372,3.917892011,3.928106554,3.759491462,3.710427225,3.640114576
AT4G09080,2.749544092,2.920050048,3.140848361,2.816272113,3.083133433,3.006452743,3.010959964,2.865520643,2.984954173,3.068819798,2.681905948,2.946131936
AT4G09100,2.670474815,2.566865873,2.679401919,2.772970871,3.013263123,3.135176696,2.86748892,2.581731881,2.600777562,3.058097837,2.829413373,2.712594344
AT4G09140,5.438648047,5.526515416,5.564709074,5.458256337,5.44620862,5.695010327,5.415518755,5.778057136,5.170221555,5.625148492,5.687957242,5.622022096
AT4G09150,6.646431479,6.604159267,6.762021792,6.676886244,6.583584658,6.512631323,6.646047699,6.487333491,6.668472085,6.377388683,6.691027394,6.584517974
AT4G09160,4.839817375,5.048466437,4.775751912,4.984270607,4.885496498,4.694874331,4.747648018,4.785948771,4.836210145,4.622936442,4.769374144,4.791982581
AT4G09320,11.56995167,11.63674173,11.70540197,11.6388487,11.61714757,11.61545596,11.57207285,11.38248143,11.67510571,11.60103391,11.54859371,11.51060509
AT4G09340,5.774327904,5.515096849,5.57809796,5.658193393,5.662882595,5.742354698,5.628347602,5.730028018,5.128249444,5.651684049,5.818397915,5.571785127
AT4G09460,8.465387074,8.598296356,8.003620121,8.232791054,8.057716751,8.024595586,8.460818436,7.875943745,8.580857563,7.985893709,8.298050761,8.0253173
AT4G09490,5.047267762,4.976570281,5.221444402,4.894555093,4.979767675,4.768239388,5.136653211,5.222238816,5.044016928,4.830999045,5.17322141,4.947027226
AT4G09500,2.811522625,2.598511093,2.398693115,2.688345771,2.643640707,2.670991778,2.899442014,2.528979156,2.940509684,2.299901855,2.704689949,2.758242137
AT4G09510,4.784870194,4.599708284,4.812895216,5.092723918,5.217299851,5.255510779,4.571342341,4.412769149,5.013743393,4.813190958,4.892095832,4.999830379
AT4G09520,4.894840698,4.947108071,4.667700478,4.943749309,5.220709252,4.829635185,4.67716195,4.737562792,4.858207362,4.928855971,5.045890786,4.97519748
AT4G09550,7.397582734,7.500421624,7.307798003,7.593771498,7.570730712,7.473568861,7.028761387,6.911324754,7.393081843,7.469437196,7.776845875,7.525318856
AT4G09560,4.25471635,3.978273088,3.389546471,4.329699168,4.148415865,4.383317526,4.691465678,4.120836953,4.081359977,4.477903031,4.489545705,4.395665486
AT4G09570,6.232670572,6.302456321,6.198968031,6.147593643,6.183187309,6.155478555,6.233868668,6.029545896,5.998907822,6.114871442,6.111646591,6.260255432
AT4G09580,5.822721083,5.65967173,5.810560483,5.735859374,5.634996425,5.876644019,5.783058161,5.621021661,5.61518483,5.725610881,5.970183667,5.792052766
AT4G09620,5.893268154,5.919771267,6.045307006,5.874449883,5.635214795,5.67578309,5.907009078,5.873424864,6.023274839,5.666459184,5.842223486,5.855387313
AT4G09630,5.873940353,5.542753246,5.833234817,5.730586336,5.504404815,5.516993453,6.088912285,6.00787561,5.813182635,5.765250809,5.799762,5.756769998
AT4G09640,4.504798142,4.580080336,4.485574391,4.651984305,4.579270904,4.460971531,4.113648569,4.256409311,4.666388492,4.642778837,4.518020214,4.751387297
AT4G09650,4.206637626,4.159364059,3.825875119,3.883963668,3.743680043,4.22442023,4.031822862,3.931135233,4.453087019,3.453173779,3.294262241,4.071374187
AT4G09670,7.495730979,7.473232852,7.325608165,7.458041415,7.48706084,7.334352516,7.528420514,7.453964383,7.568456851,7.55055078,7.541880807,7.525516521
AT4G09680,3.916203203,3.846507073,4.084609601,4.015264623,4.388603464,4.034074191,4.166543603,4.170257418,3.71594541,4.223042785,4.156069435,4.042566789
AT4G09720,7.916535742,7.815101064,7.959440721,7.895435377,7.95172928,7.90949942,7.854589708,7.725240468,8.021923683,7.722118067,7.906169559,8.071164148
AT4G09730,4.915118888,4.925050884,5.220888436,4.949719982,4.944597947,5.31920996,4.757355593,5.069620606,5.124169834,4.842966641,4.514096594,4.645815977
AT4G09760,7.514595096,7.419553376,7.411857347,6.968286629,7.097681219,6.651113518,7.412764837,6.077003124,7.230391413,6.890189182,6.492409436,6.869258746
AT4G09800,11.40060061,11.35696289,11.32103404,11.43596908,11.42578643,11.33708071,11.24389429,10.9823989,11.46887926,11.31672662,11.55125632,11.31852182
AT4G09810,4.087739849,4.468227749,4.546122486,4.512369026,4.315201098,4.461392326,4.188925447,4.434547217,4.818088616,4.411835427,4.253522062,4.467813473
AT4G09830,10.72448884,10.65626507,10.47176241,10.84096127,10.98877037,10.76087035,10.73851743,10.78752196,10.67517843,11.0294893,11.12291401,10.6955575
AT4G09840,4.399423714,4.753215067,4.61316278,4.362427747,4.24463012,4.538886171,4.671869195,4.634314062,4.85454201,4.44773103,4.336742191,4.228669481
AT4G09890,8.269404762,8.257659116,7.52679474,7.788184554,7.582230456,7.395387275,8.055309193,7.046491678,7.808332831,7.182706245,7.747045361,7.445765503
AT4G09950,2.351952942,2.404189633,2.412426937,2.82558372,2.660074033,2.394176128,2.638395705,2.581450445,2.560299281,2.626845998,2.523784895,2.797843262
AT4G09970,4.29738902,4.865887785,4.615046947,4.285260692,4.254695609,4.41847183,4.534143265,4.155661006,4.58556579,4.314925655,4.337807766,4.527193373
AT4G09980,3.182532875,3.032122072,3.116730056,3.246803161,3.131429428,3.33856287,2.972647707,3.108544487,3.056310706,3.305189581,3.346986517,2.906336844
