Analysis.Id,0point09G_Rep1,0point09G_Rep2,0point09G_Rep3,0point18G_Rep1,0point18G_Rep2,0point18G_Rep3,0point36G_Rep1,0point36G_Rep2,0point36G_Rep3,0point57G_Rep1,0point57G_Rep2,0point57G_Rep3,0point57G_Rep4,1G_Rep1,1G_Rep2,1G_Rep3,uG_Rep1,uG_Rep2,uG_Rep3,uG_Rep4
AT1G50280,69.79002922,64.432668,61.2083017,27.78933341,40.92359414,26.0957655,28.67945828,28.55963158,33.7364959,66.55237783,33.38514652,28.1191344,33.08886757,24.4564254,27.76533127,46.33147751,30.99028867,50.43221019,33.69369808,27.97501005
AT1G50290,773.7896022,837.8652342,956.766183,880.4302526,1042.271418,822.5329984,728.1892143,1446.401041,838.9883549,982.0488518,905.887817,1764.814155,987.1877901,916.8156707,645.9029288,1253.79857,1296.863886,1097.456929,1287.491131,955.8206683
AT1G50300,172.9317819,189.5074389,149.4600829,112.7886608,164.6750194,136.4371226,137.5958521,146.0859514,167.4033323,157.9886307,170.0965658,276.956727,127.5178384,151.14833,163.2479587,143.9460887,182.2340153,148.5501588,118.7522483,126.2507953
AT1G50320,968.6146833,885.5097816,696.2431565,393.3233218,477.0123769,414.4843594,563.8672576,280.2170813,557.6670314,804.154441,474.4574953,364.2678166,633.6456332,376.0884845,500.6785478,930.6997329,597.8612791,882.7152561,499.8142301,520.3678125
AT1G50360,412.6936219,406.9062271,420.1811406,422.5799592,349.0592569,454.6666577,408.7929676,462.3685443,407.0849737,352.5356799,386.0408613,423.5023826,412.2733584,378.0443445,405.9619832,380.7778624,344.9117568,365.69874,391.6372843,418.5070237
AT1G50370,512.5830611,484.2809808,493.4634112,489.4100163,495.3332128,534.8056878,510.4129997,487.4631908,492.0039005,507.3174909,504.2693231,448.5750351,505.0350336,484.700605,525.2766598,423.8134697,594.0280283,503.714221,474.8511051,543.8454202
AT1G50380,352.2553705,360.3973886,344.1054379,384.593661,340.381381,343.5543748,323.9409341,445.6482396,373.9405951,370.905022,366.2180025,568.4544254,327.077361,444.837907,379.1146563,371.8574253,354.2568439,360.5792339,358.7222963,387.7596641
AT1G50400,6.064659883,12.41102655,8.05877609,21.6335957,15.80947766,10.06036626,14.33457322,12.21163747,11.7667278,13.14056539,9.154894612,29.89034089,19.2835675,12.73550091,8.204972471,12.34041622,11.7932193,8.63922936,13.22173275,17.52391446
AT1G50410,444.6031268,358.7302628,316.1004577,307.7502076,376.7860569,428.5665835,339.1715381,302.2284998,329.2562448,336.9529625,395.9793328,311.0000174,313.4191209,341.4953078,398.4129345,351.9959153,357.4619122,310.1755788,401.0347667,355.1167003
AT1G50420,480.3477231,335.4536308,207.8125071,207.1325511,280.582833,304.3559755,245.7762613,313.8995354,262.1029912,322.3053585,280.6416836,362.5645507,265.3669203,189.9958255,289.7955022,173.394362,222.6229288,240.8311924,304.5434947,217.7919489
AT1G50430,858.331375,832.7593018,827.5009484,784.075151,928.7548634,1021.42718,867.6097718,711.4600778,824.2786841,791.3093633,885.5630048,622.7005165,827.3407929,685.6939389,840.00543,770.7206941,898.1609239,824.6837234,748.2473708,870.0665656
AT1G50440,180.5941701,240.4471307,204.4469131,110.6232353,192.113789,239.2022593,205.6161132,142.0736319,169.3979648,232.385555,200.7633595,164.1445699,191.9078003,169.7103883,208.2213205,184.8756226,226.6644917,198.4423987,185.7271611,126.4418631
AT1G50450,459.9796852,468.4824205,338.5112521,225.6333581,221.3230082,134.7360549,185.2161958,141.1854399,248.4435586,359.7934949,221.7093831,268.2276657,198.3422549,290.1200521,232.7457217,473.1988753,213.3676276,343.183651,191.0774628,192.9157725
AT1G50460,416.8570584,535.9758777,520.8708332,483.2788265,521.4994051,461.66018,560.0997896,332.9168723,236.9128716,322.5787024,503.160088,281.6500993,367.9261991,297.670065,474.1421477,300.0579176,470.7901434,632.7130553,554.4234828,445.842467
AT1G50480,1863.73634,1914.127018,1760.126913,2066.163149,1628.173791,1696.596651,1645.49992,2562.778186,1721.338489,2097.524291,2160.732531,3089.673918,1719.83586,2063.610979,2093.51324,2016.179278,1572.522741,1740.142307,2061.142221,1875.759159
AT1G50490,261.7234855,229.8854776,299.9066353,310.026132,335.9741544,301.0582022,250.3679869,254.8818242,363.7158978,189.0675793,175.8674801,229.3275292,368.2328877,330.3327304,187.0075082,272.2977087,371.7293462,333.1021817,176.15071,329.0440875
AT1G50500,491.7256593,455.5830595,433.1346125,442.4780148,436.1888243,491.2556648,476.2279531,488.3245901,452.5829427,475.5598154,501.5272743,466.2799782,415.1040998,488.6010444,529.0250727,491.6089076,459.2134755,413.8435644,439.8024281,443.2182088
