"","1: upregulation, -1: downregulation","Symbol","X1G-009G","X1G-018G","X1G-036G","X1G-057G","X1G-uG","X0point09G_Rep1","X0point09G_Rep2","X0point09G_Rep3","X0point18G_Rep1","X0point18G_Rep2","X0point18G_Rep3","X0point36G_Rep1","X0point36G_Rep2","X0point36G_Rep3","X0point57G_Rep1","X0point57G_Rep2","X0point57G_Rep3","X0point57G_Rep4","X1G_Rep1","X1G_Rep2","X1G_Rep3","uG_Rep1","uG_Rep2","uG_Rep3","uG_Rep4"
"33","AT1G80840",NA,1,0,0,0,0,7.08229337191154,6.91019099492375,7.11471532327388,9.28470229661264,6.99656017359931,6.74597622790902,7.2641315284071,8.93364130663334,8.28853160533546,7.76923375390436,8.22075902746893,8.27412694964426,8.75812619267197,8.94546985192099,8.33451380834915,9.86350319957843,6.75129882262547,7.1936099127538,7.30730556429235,8.07887299217831
"34","AT2G01300",NA,1,0,0,0,0,4.38800708478812,5.70359145552511,6.73727873655855,9.05578417979028,6.79099305432681,6.34874973664416,6.93987735335526,8.37778935729215,7.19820685499839,6.67345247121715,7.01445096798679,7.48068562731947,8.12918648922491,8.11086333376952,7.38264961983267,8.88353499858612,6.69685635389897,7.1433329300293,7.46296578673613,8.07355966678042
"35","AT2G01670",NA,-1,0,0,0,0,10.2186931116397,9.47100035585198,8.75391232434325,7.82535651240772,9.02438231477205,8.97381185373552,8.72522031494445,7.88285771766087,8.50233584319433,8.82123854274022,8.74010016643877,8.43579237176796,8.26199819461109,7.70449403729935,8.74841060807778,8.04284400516039,8.7809418086932,8.86183932947195,9.32326576728331,7.96296446329211
"36","AT2G04795",NA,1,0,0,0,0,6.43786241055278,5.78452576127961,6.40524484461589,7.44371845846474,6.79099305432681,6.54572878107171,6.31933863171188,7.83960760108969,7.04293329014363,6.70146765332349,6.89899475201935,6.83446658703531,7.18972931517241,7.52852362537095,6.82333427671935,7.67633284988208,6.31838778382012,7.04816817880246,6.70391705401988,6.63548749706212
"37","AT2G05940",NA,1,0,0,0,0,7.65299073782813,8.15311316167367,8.72361041864657,9.81413957849993,8.76466601661877,8.7721890016879,8.87074150320096,9.36037179236207,8.87808954635627,8.82442684124779,9.15930624660899,8.49252981492592,9.19957508430698,9.36341887973606,8.98452696943516,9.48576271569879,8.57751267068318,8.67981086159444,9.25152000701936,9.12577011579912
"38","AT2G16990",NA,1,0,0,0,0,5.28062301373253,5.86115987274957,5.85393034998539,6.77397089253737,6.1665715793116,6.81125247560148,6.20687496267474,7.38647347393176,6.65676467223151,6.21046463743302,6.18210448258443,6.27456789957726,6.56976180497531,6.93968853641673,6.18046461666881,6.89866952412741,5.92725513448127,5.70403255815989,6.42971301276534,6.20120753835553
"39","AT2G20142",NA,1,0,0,0,0,6.35248587676281,5.73107714209158,6.63967934196315,8.09573125448046,7.10507658002668,6.69154166698093,7.05263861246186,7.68761609945399,6.76673313316993,6.50881670354593,7.5769642721633,6.57401795658728,7.57733295220525,7.57456900694642,7.39972034975466,7.79181607070642,6.7645943773673,6.89857895540069,7.51133151453788,7.59879124000638
"40","AT2G22500",NA,1,0,0,0,0,6.12426150407731,7.05859394603944,8.30404287017845,9.8688812777746,8.26328178745799,8.28548390535576,8.81107956441514,9.95982150100935,9.42895478558587,8.59351500058103,8.45952922641011,8.68565577078414,10.2561110821018,10.1379190746956,8.95307125613307,10.0861199049668,8.38002209871944,9.09926044120564,8.74841641646448,9.53629281454743
"41","AT2G22590",NA,1,0,0,0,0,2.58318921500984,2.58610142252855,2.99782606745305,5.35063355005015,3.90428743868749,2.99537986299136,4.39011115562231,4.80222491859194,5.16858596450818,3.46011200678706,3.57952171909156,6.13897075544758,4.45935149726989,5.55191662684325,3.45313668176064,5.49548482093318,2.99813776139501,2.58626094754734,4.00271304078961,4.51636355291175
"42","AT2G23120",NA,1,0,0,0,0,8.68821210513684,9.60330933621223,9.86603219633261,10.3943004681925,9.64572296228032,9.72040937059525,10.1945001098105,10.7013867038785,10.0537815980259,9.74253103010058,10.2679819447022,10.1281697346576,10.0592469012273,10.8472721178223,10.2881897289356,10.2542708972944,9.64554788209491,9.6656507444462,10.3221477516284,10.3064585743859
"43","AT2G23810",NA,1,0,0,0,0,11.1888239395049,11.0027027951626,11.718888310577,12.3768513265207,11.7617392588849,11.5971620067075,11.6872753950882,12.5747467884814,12.199699783677,11.8543774374746,11.9744763442443,11.8430689390169,12.6817993596797,12.5245579313958,11.9584123012644,12.9744490074196,11.789067617295,12.1225050332865,11.740013952297,12.0486046410866
